user_id,cluster
0000000_D,5
0000001_D,8
0000002_D,4
0000003_D,10
0000004_D,4
0000005_D,5
0000006_D,10
0000007_D,5
0000008_D,5
0000009_D,8
0000010_D,8
0000011_D,8
0000012_D,4
0000013_D,5
0000014_D,4
0000015_D,8
0000016_D,4
0000017_D,4
0000018_D,4
0000019_D,8
0000020_D,4
0000021_D,8
0000022_D,5
0000023_D,10
0000024_D,4
0000025_D,4
0000026_D,5
0000027_D,8
0000028_D,4
0000029_D,8
0000030_D,8
0000031_D,8
0000032_D,5
0000033_D,8
0000034_D,8
0000035_D,4
0000036_D,8
0000037_D,4
0000038_D,8
0000039_D,8
0000040_D,4
0000041_D,4
0000042_D,8
0000043_D,5
0000044_D,4
0000045_D,4
0000046_D,5
0000047_D,4
0000048_D,4
0000049_D,4
0000050_D,4
0000051_D,5
0000052_D,4
0000053_D,8
0000054_D,4
0000055_D,4
0000056_D,5
0000057_D,5
0000058_D,4
0000059_D,5
0000060_D,10
0000061_D,4
0000062_D,4
0000063_D,10
0000064_D,4
0000065_D,4
0000066_D,4
0000067_D,10
0000068_D,8
0000069_D,5
0000070_D,10
0000071_D,8
0000072_D,4
0000073_D,4
0000074_D,4
0000075_D,5
0000076_D,5
0000077_D,4
0000078_D,4
0000079_D,4
0000080_D,5
0000081_D,4
0000082_D,5
0000083_D,5
0000084_D,4
0000085_D,4
0000086_D,4
0000087_D,5
0000088_D,10
0000089_D,4
0000090_D,5
0000091_D,5
0000092_D,4
0000093_D,4
0000094_D,4
0000095_D,4
0000096_D,8
0000097_D,5
0000098_D,3
0000099_D,4
0000100_D,4
0000101_D,5
0000102_D,4
0000103_D,4
0000104_D,4
0000105_D,4
0000106_D,4
0000107_D,4
0000108_D,5
0000109_D,4
0000110_D,8
0000111_D,4
0000112_D,5
0000113_D,5
0000114_D,10
0000115_D,5
0000116_D,5
0000117_D,4
0000118_D,4
0000119_D,4
0000120_D,4
0000121_D,4
0000122_D,8
0000123_D,8
0000124_D,4
0000125_D,4
0000126_D,4
0000127_D,4
0000128_D,10
0000129_D,4
0000130_D,4
0000131_D,4
0000132_D,4
0000133_D,4
0000134_D,8
0000135_D,10
0000136_D,4
0000137_D,5
0000138_D,4
0000139_D,5
0000140_D,4
0000141_D,4
0000142_D,5
0000143_D,8
0000144_D,4
0000145_D,8
0000146_D,4
0000147_D,4
0000148_D,4
0000149_D,4
0000150_D,4
0000151_D,4
0000152_D,5
0000153_D,5
0000154_D,4
0000155_D,8
0000156_D,4
0000157_D,4
0000158_D,5
0000159_D,5
0000160_D,5
0000161_D,10
0000162_D,4
0000163_D,5
0000164_D,5
0000165_D,8
0000166_D,5
0000167_D,4
0000168_D,5
0000169_D,5
0000170_D,8
0000171_D,4
0000172_D,5
0000173_D,4
0000174_D,4
0000175_D,4
0000176_D,5
0000177_D,4
0000178_D,8
0000179_D,4
0000180_D,4
0000181_D,4
0000182_D,4
0000183_D,4
0000184_D,5
0000185_D,4
0000186_D,8
0000187_D,4
0000188_D,5
0000189_D,8
0000190_D,4
0000191_D,5
0000192_D,4
0000193_D,4
0000194_D,10
0000195_D,4
0000196_D,4
0000197_D,4
0000198_D,4
0000199_D,4
0000200_D,5
0000201_D,4
0000202_D,8
0000203_D,5
0000204_D,4
0000205_D,4
0000206_D,4
0000207_D,4
0000208_D,4
0000209_D,8
0000210_D,4
0000211_D,4
0000212_D,8
0000213_D,5
0000214_D,8
0000215_D,4
0000216_D,8
0000217_D,8
0000218_D,4
0000219_D,4
0000220_D,4
0000221_D,10
0000222_D,5
0000223_D,5
0000224_D,4
0000225_D,5
0000226_D,4
0000227_D,5
0000228_D,4
0000229_D,4
0000230_D,5
0000231_D,5
0000232_D,4
0000233_D,5
0000234_D,4
0000235_D,4
0000236_D,4
0000237_D,4
0000238_D,5
0000239_D,4
0000240_D,8
0000241_D,4
0000242_D,5
0000243_D,4
0000244_D,5
0000245_D,8
0000246_D,10
0000247_D,4
0000248_D,4
0000249_D,4
0000250_D,4
0000251_D,4
0000252_D,5
0000253_D,5
0000254_D,4
0000255_D,5
0000256_D,10
0000257_D,4
0000258_D,5
0000259_D,5
0000260_D,5
0000261_D,8
0000262_D,4
0000263_D,5
0000264_D,5
0000265_D,8
0000266_D,4
0000267_D,5
0000268_D,4
0000269_D,8
0000270_D,4
0000271_D,4
0000272_D,5
0000273_D,4
0000274_D,4
0000275_D,4
0000276_D,4
0000277_D,4
0000278_D,5
0000279_D,4
0000280_D,10
0000281_D,4
0000282_D,8
0000283_D,5
0000284_D,8
0000285_D,5
0000286_D,4
0000287_D,5
0000288_D,5
0000289_D,5
0000290_D,4
0000291_D,8
0000292_D,5
0000293_D,5
0000294_D,5
0000295_D,4
0000296_D,5
0000297_D,5
0000298_D,4
0000299_D,4
0000300_D,5
0000301_D,10
0000302_D,5
0000303_D,8
0000304_D,4
0000305_D,4
0000306_D,4
0000307_D,5
0000308_D,4
0000309_D,5
0000310_D,4
0000311_D,8
0000312_D,4
0000313_D,5
0000314_D,4
0000315_D,4
0000316_D,8
0000317_D,8
0000318_D,5
0000319_D,5
0000320_D,8
0000321_D,8
0000322_D,5
0000323_D,4
0000324_D,8
0000325_D,4
0000326_D,4
0000327_D,5
0000328_D,5
0000329_D,5
0000330_D,5
0000331_D,5
0000332_D,5
0000333_D,10
0000334_D,4
0000335_D,5
0000336_D,4
0000337_D,10
0000338_D,4
0000339_D,5
0000340_D,4
0000341_D,5
0000342_D,5
0000343_D,4
0000344_D,5
0000345_D,4
0000346_D,4
0000347_D,5
0000348_D,5
0000349_D,5
0000350_D,4
0000351_D,8
0000352_D,5
0000353_D,8
0000354_D,4
0000355_D,4
0000356_D,8
0000357_D,8
0000358_D,5
0000359_D,4
0000360_D,10
0000361_D,4
0000362_D,4
0000363_D,5
0000364_D,4
0000365_D,8
0000366_D,4
0000367_D,8
0000368_D,9
0000369_D,4
0000370_D,4
0000371_D,8
0000372_D,4
0000373_D,8
0000374_D,4
0000375_D,8
0000376_D,4
0000377_D,8
0000378_D,4
0000379_D,5
0000380_D,5
0000381_D,10
0000382_D,8
0000383_D,8
0000384_D,5
0000385_D,5
0000386_D,5
0000387_D,5
0000388_D,5
0000389_D,3
0000390_D,4
0000391_D,5
0000392_D,8
0000393_D,4
0000394_D,8
0000395_D,5
0000396_D,4
0000397_D,8
0000398_D,10
0000399_D,8
0000400_D,4
0000401_D,4
0000402_D,4
0000403_D,8
0000404_D,10
0000405_D,8
0000406_D,5
0000407_D,8
0000408_D,5
0000409_D,5
0000410_D,7
0000411_D,9
0000412_D,4
0000413_D,8
0000414_D,4
0000415_D,8
0000416_D,4
0000417_D,5
0000418_D,5
0000419_D,5
0000420_D,4
0000421_D,5
0000422_D,8
0000423_D,8
