product_id,cluster
00000000_a,7
00000001_a,2
00000002_a,7
00000003_a,2
00000004_a,7
00000005_a,7
00000006_a,2
00000007_a,7
00000008_a,7
00000009_a,4
00000010_a,7
00000011_a,7
00000012_a,7
00000013_a,7
00000014_a,7
00000015_a,7
00000016_a,7
00000017_a,7
00000018_a,7
00000019_a,7
00000020_a,7
00000021_a,7
00000022_a,2
00000023_a,7
00000024_a,7
00000025_a,7
00000026_a,7
00000027_a,7
00000028_a,2
00000030_a,7
00000031_a,7
00000032_a,7
00000033_a,7
00000034_a,2
00000035_a,7
00000036_a,7
00000037_a,7
00000038_a,7
00000039_a,7
00000040_a,7
00000041_a,7
00000042_a,7
00000043_a,2
00000044_a,7
00000045_a,7
00000046_a,2
00000047_a,2
00000048_a,7
00000049_a,7
00000050_a,7
00000051_a,4
00000052_a,7
00000053_a,7
00000054_a,2
00000055_a,7
00000056_a,7
00000057_a,7
00000058_a,2
00000059_a,7
00000060_a,2
00000061_a,7
00000062_a,7
00000063_a,7
00000064_a,7
00000065_a,2
00000067_a,7
00000068_a,7
00000069_a,7
00000070_a,7
00000071_a,2
00000072_a,4
00000073_a,7
00000074_a,7
00000075_a,2
00000076_a,7
00000077_a,7
00000078_a,7
00000079_a,0
00000080_a,2
00000081_a,7
00000082_a,7
00000083_a,2
00000084_a,2
00000085_a,7
00000086_a,0
00000087_a,7
00000088_a,7
00000089_a,7
00000090_a,7
00000091_a,7
00000092_a,7
00000093_a,7
00000094_a,7
00000095_a,7
00000096_a,0
00000097_a,7
00000098_a,7
00000099_a,2
00000100_a,7
00000101_a,4
00000102_a,7
00000103_a,7
00000104_a,2
00000105_a,7
00000106_a,7
00000107_a,2
00000108_a,7
00000109_a,7
00000110_a,3
00000111_a,7
00000112_a,7
00000113_a,2
00000114_a,7
00000115_a,7
00000116_a,7
00000117_a,7
00000118_a,7
00000119_a,4
00000120_a,2
00000121_a,7
00000122_a,7
00000123_a,0
00000124_a,2
00000125_a,7
00000126_a,2
00000127_a,7
00000128_a,7
00000129_a,2
00000130_a,7
00000131_a,7
00000133_a,7
00000134_a,4
00000135_a,7
00000136_a,2
00000137_a,7
00000138_a,1
00000139_a,2
00000140_a,7
00000141_a,7
00000142_a,7
00000143_a,7
00000144_a,7
00000145_a,7
00000146_a,7
00000147_a,4
00000148_a,4
00000149_a,7
00000150_a,7
00000151_a,7
00000152_a,7
00000153_a,7
00000154_a,7
00000155_a,2
00000156_a,7
00000157_a,4
00000158_a,2
00000159_a,0
00000160_a,4
00000161_a,7
00000162_a,7
00000163_a,0
00000164_a,7
00000165_a,7
00000166_a,7
00000167_a,4
00000168_a,7
00000169_a,2
00000170_a,7
00000171_a,7
00000172_a,2
00000173_a,2
00000174_a,7
00000175_a,7
00000176_a,7
00000177_a,7
00000178_a,7
00000179_a,2
00000181_a,2
00000182_a,7
00000183_a,7
00000185_a,7
00000186_a,7
00000187_a,7
00000188_a,2
00000189_a,7
00000190_a,7
00000191_a,7
00000192_a,7
00000193_a,7
00000194_a,2
00000195_a,2
00000196_a,7
00000197_a,2
00000198_a,7
00000199_a,7
00000200_a,7
00000201_a,2
00000202_a,2
00000203_a,7
00000204_a,7
00000205_a,7
00000206_a,4
00000207_a,7
00000208_a,4
00000209_a,7
00000210_a,2
00000211_a,2
00000212_a,2
00000213_a,2
00000214_a,2
00000216_a,7
00000217_a,7
00000218_a,2
00000219_a,7
00000220_a,7
00000221_a,7
00000222_a,7
00000223_a,7
00000224_a,0
00000225_a,7
00000226_a,7
00000227_a,7
00000228_a,2
00000229_a,7
00000230_a,7
00000231_a,2
00000232_a,7
00000233_a,2
00000234_a,2
00000235_a,4
00000236_a,7
00000237_a,7
00000238_a,7
00000239_a,7
00000240_a,2
00000241_a,2
00000242_a,7
00000243_a,7
00000244_a,2
00000245_a,7
00000246_a,7
00000247_a,6
00000248_a,7
00000249_a,7
00000250_a,7
00000251_a,7
00000252_a,7
00000253_a,7
00000254_a,7
00000255_a,7
00000256_a,7
00000257_a,7
00000258_a,7
00000259_a,4
00000260_a,7
00000261_a,2
00000262_a,7
00000263_a,4
00000264_a,7
00000265_a,7
00000266_a,2
00000267_a,7
00000268_a,2
00000269_a,0
00000270_a,7
00000271_a,7
00000272_a,2
00000273_a,2
00000274_a,7
00000275_a,7
00000276_a,7
00000277_a,2
00000278_a,7
00000279_a,2
00000280_a,7
00000281_a,7
00000282_a,7
00000283_a,4
00000284_a,7
