user_id,cluster
0000000_A,4
0000001_A,4
0000002_A,7
0000003_A,4
0000004_A,4
0000005_A,2
0000006_A,4
0000007_A,4
0000008_A,4
0000009_A,4
0000010_A,4
0000011_A,4
0000012_A,4
0000013_A,7
0000014_A,4
0000015_A,4
0000016_A,4
0000017_A,4
0000018_A,4
0000019_A,4
0000020_A,4
0000021_A,4
0000022_A,4
0000023_A,4
0000024_A,4
0000025_A,4
0000026_A,4
0000027_A,4
0000028_A,4
0000029_A,4
0000030_A,4
0000031_A,2
0000032_A,8
0000033_A,4
0000034_A,4
0000035_A,3
0000036_A,4
0000037_A,2
0000038_A,4
0000039_A,4
0000040_A,4
0000041_A,1
0000042_A,4
0000043_A,4
0000044_A,2
0000045_A,3
0000046_A,4
0000047_A,4
0000048_A,4
0000049_A,4
0000050_A,4
0000051_A,4
0000052_A,4
0000053_A,2
0000054_A,4
0000055_A,4
0000056_A,7
0000057_A,4
0000058_A,4
0000059_A,4
0000060_A,4
0000061_A,4
0000062_A,2
0000063_A,4
0000064_A,4
0000065_A,4
0000066_A,4
0000067_A,2
0000068_A,4
0000069_A,4
0000070_A,4
0000071_A,2
0000072_A,4
0000073_A,2
0000074_A,7
0000075_A,2
0000076_A,4
0000077_A,7
0000078_A,4
0000079_A,4
0000080_A,4
0000081_A,4
0000082_A,2
0000083_A,4
0000084_A,4
0000085_A,4
0000086_A,4
0000087_A,4
0000088_A,4
0000089_A,4
0000090_A,4
0000091_A,2
0000092_A,4
0000093_A,4
0000094_A,4
0000095_A,2
0000096_A,4
0000097_A,2
0000098_A,4
0000099_A,2
0000100_A,4
0000101_A,4
0000102_A,4
0000103_A,4
0000104_A,4
0000105_A,4
0000106_A,4
0000107_A,4
0000108_A,4
0000109_A,4
0000110_A,4
0000111_A,2
0000112_A,2
0000113_A,4
0000114_A,4
0000115_A,4
0000116_A,4
0000117_A,4
0000118_A,4
0000119_A,4
0000120_A,4
0000121_A,4
0000122_A,2
0000123_A,7
0000124_A,8
0000125_A,4
0000126_A,4
0000127_A,4
0000128_A,2
0000129_A,4
0000130_A,4
0000131_A,4
0000132_A,2
0000133_A,4
0000134_A,4
0000135_A,4
0000136_A,3
0000137_A,4
0000138_A,4
0000139_A,4
0000140_A,2
0000141_A,2
0000142_A,4
0000143_A,7
0000144_A,4
0000145_A,4
0000146_A,8
0000147_A,4
0000148_A,4
0000149_A,8
0000150_A,4
0000151_A,2
0000152_A,4
0000153_A,4
0000154_A,4
0000155_A,4
0000156_A,4
0000157_A,4
0000158_A,4
0000159_A,4
0000160_A,4
0000161_A,4
0000162_A,2
0000163_A,4
0000164_A,4
0000165_A,4
0000166_A,2
0000167_A,4
0000168_A,4
0000169_A,4
0000170_A,3
0000171_A,4
0000172_A,4
0000173_A,4
0000174_A,4
0000175_A,4
0000176_A,4
0000177_A,2
0000178_A,4
0000179_A,4
0000180_A,4
0000181_A,2
0000182_A,4
0000183_A,4
0000184_A,4
0000185_A,4
0000186_A,4
0000187_A,2
0000188_A,4
0000189_A,4
0000190_A,4
0000191_A,4
0000192_A,2
0000193_A,4
0000194_A,4
0000195_A,7
0000196_A,4
0000197_A,7
0000198_A,4
0000199_A,3
0000200_A,4
