user_id,cluster
0000000_B,6
0000001_B,6
0000002_B,6
0000003_B,6
0000004_B,6
0000005_B,6
0000006_B,6
0000007_B,0
0000008_B,0
0000009_B,6
0000010_B,6
0000011_B,0
0000012_B,6
0000013_B,0
0000014_B,6
0000015_B,0
0000016_B,0
0000017_B,6
0000018_B,3
0000019_B,6
0000020_B,0
0000021_B,6
0000022_B,0
0000023_B,6
0000024_B,6
0000025_B,6
0000026_B,6
0000027_B,6
0000028_B,6
0000029_B,6
0000030_B,6
0000031_B,6
0000032_B,0
0000033_B,0
0000034_B,6
0000035_B,6
0000036_B,0
0000037_B,6
0000038_B,0
0000039_B,6
0000040_B,6
0000041_B,0
0000042_B,6
0000043_B,6
0000044_B,6
0000045_B,6
0000046_B,6
0000047_B,6
0000048_B,6
0000049_B,6
0000050_B,6
0000051_B,6
0000052_B,0
0000053_B,6
0000054_B,0
0000055_B,0
0000056_B,0
0000057_B,0
0000058_B,6
0000059_B,6
0000060_B,6
0000061_B,6
0000062_B,0
0000063_B,6
0000064_B,6
0000065_B,6
0000066_B,6
0000067_B,6
0000068_B,0
0000069_B,0
0000070_B,6
0000071_B,0
0000072_B,6
0000073_B,0
0000074_B,6
0000075_B,6
0000076_B,0
0000077_B,3
0000078_B,6
0000079_B,6
0000080_B,6
0000081_B,6
0000082_B,0
0000083_B,0
0000084_B,0
0000085_B,6
0000086_B,6
0000087_B,0
0000088_B,0
0000089_B,6
0000090_B,3
0000091_B,6
0000092_B,6
0000093_B,0
0000094_B,6
0000095_B,0
0000096_B,6
0000097_B,6
0000098_B,6
0000099_B,6
0000100_B,6
0000101_B,6
0000102_B,0
0000103_B,6
0000104_B,6
0000105_B,6
0000106_B,0
0000107_B,6
0000108_B,0
0000109_B,6
0000110_B,0
0000111_B,6
0000112_B,0
0000113_B,0
0000114_B,6
0000115_B,6
0000116_B,6
0000117_B,6
0000118_B,6
0000119_B,6
0000120_B,6
0000121_B,6
0000122_B,6
0000123_B,6
0000124_B,0
0000125_B,0
0000126_B,6
0000127_B,6
0000128_B,6
0000129_B,2
0000130_B,6
0000131_B,0
0000132_B,0
0000133_B,0
0000134_B,6
0000135_B,0
0000136_B,3
0000137_B,6
0000138_B,6
0000139_B,6
0000140_B,0
0000141_B,6
0000142_B,0
0000143_B,0
0000144_B,0
0000145_B,6
0000146_B,0
0000147_B,6
0000148_B,0
0000149_B,6
0000150_B,6
0000151_B,6
0000152_B,0
0000153_B,2
0000154_B,0
0000155_B,6
0000156_B,0
0000157_B,0
0000158_B,0
0000159_B,3
0000160_B,6
0000161_B,6
0000162_B,6
0000163_B,6
0000164_B,6
0000165_B,6
0000166_B,6
0000167_B,0
0000168_B,0
0000169_B,6
0000170_B,0
0000171_B,6
0000172_B,0
0000173_B,0
0000174_B,6
0000175_B,0
0000176_B,6
0000177_B,6
0000178_B,6
0000179_B,0
0000180_B,0
0000181_B,2
0000182_B,0
0000183_B,2
0000184_B,6
0000185_B,6
0000186_B,0
0000187_B,0
0000188_B,6
0000189_B,2
0000190_B,6
0000191_B,6
0000192_B,6
0000193_B,6
0000194_B,6
0000195_B,0
0000196_B,6
0000197_B,6
0000198_B,0
0000199_B,0
0000200_B,6
0000201_B,0
0000202_B,6
0000203_B,0
0000204_B,6
0000205_B,0
0000206_B,0
0000207_B,6
0000208_B,6
0000209_B,6
0000210_B,6
0000211_B,0
0000212_B,0
0000213_B,6
0000214_B,0
0000215_B,0
0000216_B,6
0000217_B,6
0000218_B,0
0000219_B,2
0000220_B,6
0000221_B,6
0000222_B,6
0000223_B,6
0000224_B,6
0000225_B,0
0000226_B,0
0000227_B,0
0000228_B,6
0000229_B,6
0000230_B,0
0000231_B,0
0000232_B,6
0000233_B,6
0000234_B,6
0000235_B,0
0000236_B,6
0000237_B,6
0000238_B,6
0000239_B,0
0000240_B,0
0000241_B,6
0000242_B,6
0000243_B,6
0000244_B,6
0000245_B,6
0000246_B,6
0000247_B,0
0000248_B,6
0000249_B,6
0000250_B,6
0000251_B,6
0000252_B,0
0000253_B,6
0000254_B,2
0000255_B,6
0000256_B,6
0000257_B,6
0000258_B,0
0000259_B,6
0000260_B,0
0000261_B,6
0000262_B,6
0000263_B,6
0000264_B,6
0000265_B,6
0000266_B,6
0000267_B,6
0000268_B,6
0000269_B,6
0000270_B,3
0000271_B,6
0000272_B,6
0000273_B,6
0000274_B,6
0000275_B,6
0000276_B,6
0000277_B,6
0000278_B,6
0000279_B,0
0000280_B,6
0000281_B,6
0000282_B,6
0000283_B,6
0000284_B,6
0000285_B,6
0000286_B,0
0000287_B,6
0000288_B,6
0000289_B,0
0000290_B,6
0000291_B,0
0000292_B,6
0000293_B,0
0000294_B,6
0000295_B,6
0000296_B,0
0000297_B,2
0000298_B,6
0000299_B,6
0000300_B,6
0000301_B,6
0000302_B,0
0000303_B,6
0000304_B,0
0000305_B,0
0000306_B,0
0000307_B,6
0000308_B,0
0000309_B,6
0000310_B,0
0000311_B,6
0000312_B,6
0000313_B,6
0000314_B,6
0000315_B,6
0000316_B,6
0000317_B,6
0000318_B,6
0000319_B,6
0000320_B,6
0000321_B,0
0000322_B,6
0000323_B,6
0000324_B,6
0000325_B,2
0000326_B,6
0000327_B,0
0000328_B,0
0000329_B,6
0000330_B,0
0000331_B,0
0000332_B,0
0000333_B,2
0000334_B,0
0000335_B,0
0000336_B,0
0000337_B,6
0000338_B,0
0000339_B,6
0000340_B,6
0000341_B,6
0000342_B,6
0000343_B,0
0000344_B,6
0000345_B,6
0000346_B,6
0000347_B,6
0000348_B,6
0000349_B,6
0000350_B,6
0000351_B,0
0000352_B,0
0000353_B,6
0000354_B,0
0000355_B,6
0000356_B,0
0000357_B,6
0000358_B,0
0000359_B,6
0000360_B,6
0000361_B,2
0000362_B,6
0000363_B,0
0000364_B,6
0000365_B,6
0000366_B,6
0000367_B,6
0000368_B,6
0000369_B,0
0000370_B,6
0000371_B,6
0000372_B,0
0000373_B,0
0000374_B,0
0000375_B,6
0000376_B,6
0000377_B,6
0000378_B,6
0000379_B,0
0000380_B,6
0000381_B,6
0000382_B,6
0000383_B,6
0000384_B,6
0000385_B,0
0000386_B,6
0000387_B,2
0000388_B,6
0000389_B,6
0000390_B,6
0000391_B,6
0000392_B,6
0000393_B,0
0000394_B,6
0000395_B,0
0000396_B,6
0000397_B,6
0000398_B,6
0000399_B,0
0000400_B,6
0000401_B,0
0000402_B,6
0000403_B,6
0000404_B,0
0000405_B,6
0000406_B,6
0000407_B,0
0000408_B,0
0000409_B,6
0000410_B,6
0000411_B,0
0000412_B,6
0000413_B,6
0000414_B,6
0000415_B,6
0000416_B,0
0000417_B,6
0000418_B,6
0000419_B,6
0000420_B,6
0000421_B,6
0000422_B,6
0000423_B,6
0000424_B,3
0000425_B,6
0000426_B,6
0000427_B,0
0000428_B,0
0000429_B,6
0000430_B,6
0000431_B,6
0000432_B,0
0000433_B,6
0000434_B,0
0000435_B,6
0000436_B,6
0000437_B,6
0000438_B,6
0000439_B,6
0000440_B,6
0000441_B,0
0000442_B,0
0000443_B,6
0000444_B,6
0000445_B,0
0000446_B,6
0000447_B,6
0000448_B,6
0000449_B,6
0000450_B,6
0000451_B,6
0000452_B,6
0000453_B,6
0000454_B,6
0000455_B,6
0000456_B,0
0000457_B,6
0000458_B,6
0000459_B,0
0000460_B,6
0000461_B,6
0000462_B,0
0000463_B,6
0000464_B,6
0000465_B,0
0000466_B,0
0000467_B,0
0000468_B,6
0000469_B,6
0000470_B,6
0000471_B,6
0000472_B,6
0000473_B,0
0000474_B,0
0000475_B,6
0000476_B,6
0000477_B,6
0000478_B,6
0000479_B,6
0000480_B,6
0000481_B,6
0000482_B,6
0000483_B,6
0000484_B,6
0000485_B,6
0000486_B,6
0000487_B,0
0000488_B,6
0000489_B,6
0000490_B,6
0000491_B,6
0000492_B,0
0000493_B,6
0000494_B,6
0000495_B,0
0000496_B,6
0000497_B,6
0000498_B,0
0000499_B,6
0000500_B,0
0000501_B,6
0000502_B,0
0000503_B,6
0000504_B,0
0000505_B,6
0000506_B,0
0000507_B,3
0000508_B,6
0000509_B,6
0000510_B,6
0000511_B,6
0000512_B,6
0000513_B,6
0000514_B,6
0000515_B,0
0000516_B,6
0000517_B,6
0000518_B,6
0000519_B,6
0000520_B,6
0000521_B,0
0000522_B,0
0000523_B,0
0000524_B,0
0000525_B,6
0000526_B,6
0000527_B,6
0000528_B,6
0000529_B,3
0000530_B,6
0000531_B,6
0000532_B,6
0000533_B,0
0000534_B,6
0000535_B,0
0000536_B,2
0000537_B,6
0000538_B,6
0000539_B,0
0000540_B,0
0000541_B,6
0000542_B,6
0000543_B,6
0000544_B,0
0000545_B,6
0000546_B,0
0000547_B,6
0000548_B,6
0000549_B,0
0000550_B,6
0000551_B,0
0000552_B,6
0000553_B,0
0000554_B,6
0000555_B,6
0000556_B,0
0000557_B,6
0000558_B,6
0000559_B,0
0000560_B,0
0000561_B,6
0000562_B,6
0000563_B,0
0000564_B,6
0000565_B,6
0000566_B,6
0000567_B,0
0000568_B,2
0000569_B,6
0000570_B,6
0000571_B,6
0000572_B,6
0000573_B,6
0000574_B,6
0000575_B,0
0000576_B,6
0000577_B,6
0000578_B,6
0000579_B,0
0000580_B,6
0000581_B,0
0000582_B,2
0000583_B,0
0000584_B,6
0000585_B,2
0000586_B,3
0000587_B,0
0000588_B,0
0000589_B,6
0000590_B,6
0000591_B,6
0000592_B,0
0000593_B,6
0000594_B,6
0000595_B,0
0000596_B,6
0000597_B,6
0000598_B,6
0000599_B,6
0000600_B,6
0000601_B,6
0000602_B,6
0000603_B,6
0000604_B,6
0000605_B,0
0000606_B,6
0000607_B,0
0000608_B,6
0000609_B,6
0000610_B,0
0000611_B,3
0000612_B,6
0000613_B,6
0000614_B,6
0000615_B,6
0000616_B,6
0000617_B,0
0000618_B,0
0000619_B,0
0000620_B,6
0000621_B,6
0000622_B,6
0000623_B,6
0000624_B,0
0000625_B,6
0000626_B,6
0000627_B,6
0000628_B,0
0000629_B,6
0000630_B,6
0000631_B,0
0000632_B,6
0000633_B,6
0000634_B,6
0000635_B,6
0000636_B,0
0000637_B,0
0000638_B,6
0000639_B,6
0000640_B,6
0000641_B,0
0000642_B,6
0000643_B,2
0000644_B,0
0000645_B,6
0000646_B,0
0000647_B,6
0000648_B,6
0000649_B,6
0000650_B,0
0000651_B,6
0000652_B,6
0000653_B,6
0000654_B,6
0000655_B,0
0000656_B,6
0000657_B,6
0000658_B,6
0000659_B,6
0000660_B,0
0000661_B,0
0000662_B,6
0000663_B,6
0000664_B,6
0000665_B,6
0000666_B,6
0000667_B,6
0000668_B,0
0000669_B,6
0000670_B,0
0000671_B,0
0000672_B,6
0000673_B,6
0000674_B,2
0000675_B,6
0000676_B,2
0000677_B,6
0000678_B,0
0000679_B,6
0000680_B,6
0000681_B,0
0000682_B,6
0000683_B,6
0000684_B,6
0000685_B,0
0000686_B,6
0000687_B,6
0000688_B,0
0000689_B,6
0000690_B,6
0000691_B,6
0000692_B,6
0000693_B,6
0000694_B,6
0000695_B,6
0000696_B,6
0000697_B,6
0000698_B,0
0000699_B,6
0000700_B,6
0000701_B,6
0000702_B,2
0000703_B,6
0000704_B,6
0000705_B,6
0000706_B,0
0000707_B,6
0000708_B,2
0000709_B,2
0000710_B,6
0000711_B,2
0000712_B,6
0000713_B,0
0000714_B,0
0000715_B,3
0000716_B,6
0000717_B,6
0000718_B,6
0000719_B,6
0000720_B,6
0000721_B,6
0000722_B,6
0000723_B,6
0000724_B,0
0000725_B,6
0000726_B,0
0000727_B,6
0000728_B,0
0000729_B,6
0000730_B,6
0000731_B,6
0000732_B,0
0000733_B,6
0000734_B,6
0000735_B,0
0000736_B,0
0000737_B,6
0000738_B,6
0000739_B,6
0000740_B,6
0000741_B,6
0000742_B,6
0000743_B,6
0000744_B,6
0000745_B,6
0000746_B,6
0000747_B,6
0000748_B,0
0000749_B,6
0000750_B,6
0000751_B,6
0000752_B,6
0000753_B,6
0000754_B,6
0000755_B,6
0000756_B,0
0000757_B,6
0000758_B,6
0000759_B,0
0000760_B,6
0000761_B,6
0000762_B,6
0000763_B,6
0000764_B,6
0000765_B,6
0000766_B,6
0000767_B,6
0000768_B,6
0000769_B,2
0000770_B,6
0000771_B,6
0000772_B,6
0000773_B,6
0000774_B,6
0000775_B,6
0000776_B,0
0000777_B,6
0000778_B,6
0000779_B,6
0000780_B,6
0000781_B,6
0000782_B,6
0000783_B,6
0000784_B,6
0000785_B,0
0000786_B,0
0000787_B,0
0000788_B,6
0000789_B,0
0000790_B,6
0000791_B,6
0000792_B,6
0000793_B,6
0000794_B,6
0000795_B,6
0000796_B,6
0000797_B,6
0000798_B,6
0000799_B,0
0000800_B,6
0000801_B,0
0000802_B,6
0000803_B,6
0000804_B,6
0000805_B,6
0000806_B,6
0000807_B,6
0000808_B,6
0000809_B,6
0000810_B,6
0000811_B,6
0000812_B,6
0000813_B,0
0000814_B,0
0000815_B,6
0000816_B,6
0000817_B,6
0000818_B,0
0000819_B,0
0000820_B,6
0000821_B,0
0000822_B,6
0000823_B,6
0000824_B,0
0000825_B,6
0000826_B,6
0000827_B,6
0000828_B,6
0000829_B,6
0000830_B,6
0000831_B,6
0000832_B,0
0000833_B,6
0000834_B,0
0000835_B,6
0000836_B,6
0000837_B,3
0000838_B,6
0000839_B,6
0000840_B,6
0000841_B,6
0000842_B,6
0000843_B,0
0000844_B,0
0000845_B,6
0000846_B,0
0000847_B,6
0000848_B,0
0000849_B,6
0000850_B,6
0000851_B,6
0000852_B,6
0000853_B,0
0000854_B,0
0000855_B,6
0000856_B,0
0000857_B,6
0000858_B,6
0000859_B,6
0000860_B,6
0000861_B,6
0000862_B,0
0000863_B,6
0000864_B,6
0000865_B,6
0000866_B,6
0000867_B,6
0000868_B,0
0000869_B,6
0000870_B,6
0000871_B,0
0000872_B,6
0000873_B,6
0000874_B,0
0000875_B,6
0000876_B,6
0000877_B,6
0000878_B,3
0000879_B,0
0000880_B,6
0000881_B,6
0000882_B,0
0000883_B,6
0000884_B,6
0000885_B,6
0000886_B,6
0000887_B,0
0000888_B,6
0000889_B,0
0000890_B,6
0000891_B,6
0000892_B,6
0000893_B,6
0000894_B,6
0000895_B,2
0000896_B,6
0000897_B,6
0000898_B,6
0000899_B,6
0000900_B,6
0000901_B,6
0000902_B,6
0000903_B,6
0000904_B,6
0000905_B,2
0000906_B,6
0000907_B,0
0000908_B,6
0000909_B,6
0000910_B,6
0000911_B,6
0000912_B,0
0000913_B,6
0000914_B,0
0000915_B,6
0000916_B,6
0000917_B,6
0000918_B,6
0000919_B,6
0000920_B,0
0000921_B,6
0000922_B,6
0000923_B,6
0000924_B,6
0000925_B,0
0000926_B,6
0000927_B,6
0000928_B,6
0000929_B,0
0000930_B,2
0000931_B,6
0000932_B,0
0000933_B,0
0000934_B,6
0000935_B,6
0000936_B,6
0000937_B,6
0000938_B,0
0000939_B,6
0000940_B,6
0000941_B,2
0000942_B,6
0000943_B,6
0000944_B,6
0000945_B,6
0000946_B,3
0000947_B,0
0000948_B,6
0000949_B,6
0000950_B,6
0000951_B,6
0000952_B,0
0000953_B,6
0000954_B,6
0000955_B,0
0000956_B,6
0000957_B,6
0000958_B,6
0000959_B,6
0000960_B,6
0000961_B,6
0000962_B,6
0000963_B,6
0000964_B,0
0000965_B,0
0000966_B,6
0000967_B,6
0000968_B,6
0000969_B,6
0000970_B,2
0000971_B,6
0000972_B,6
0000973_B,6
0000974_B,0
0000975_B,6
0000976_B,6
0000977_B,6
0000978_B,6
0000979_B,0
0000980_B,6
0000981_B,6
0000982_B,6
0000983_B,0
0000984_B,6
0000985_B,0
0000986_B,0
0000987_B,6
0000988_B,0
0000989_B,6
0000990_B,0
0000991_B,6
0000992_B,6
0000993_B,6
0000994_B,6
0000995_B,0
0000996_B,6
0000997_B,6
0000998_B,6
0000999_B,0
0001000_B,6
0001001_B,6
0001002_B,6
0001003_B,6
0001004_B,6
0001005_B,6
0001006_B,6
0001007_B,6
0001008_B,6
0001009_B,6
0001010_B,0
0001011_B,6
0001012_B,0
0001013_B,6
0001014_B,6
0001015_B,6
0001016_B,6
0001017_B,0
0001018_B,6
0001019_B,6
0001020_B,6
0001021_B,6
0001022_B,6
0001023_B,2
0001024_B,6
0001025_B,0
0001026_B,6
0001027_B,6
0001028_B,6
0001029_B,6
0001030_B,6
0001031_B,6
0001032_B,6
0001033_B,6
0001034_B,6
0001035_B,6
0001036_B,6
0001037_B,6
0001038_B,6
0001039_B,6
0001040_B,6
0001041_B,6
0001042_B,6
0001043_B,6
0001044_B,6
0001045_B,6
0001046_B,6
0001047_B,6
0001048_B,6
0001049_B,6
0001050_B,6
0001051_B,6
0001052_B,6
0001053_B,0
0001054_B,0
0001055_B,6
0001056_B,6
0001057_B,6
0001058_B,0
0001059_B,6
0001060_B,6
0001061_B,6
0001062_B,6
0001063_B,6
0001064_B,6
0001065_B,6
0001066_B,6
0001067_B,6
0001068_B,6
0001069_B,6
0001070_B,6
0001071_B,6
0001072_B,0
0001073_B,6
0001074_B,0
0001075_B,6
0001076_B,0
0001077_B,6
0001078_B,0
0001079_B,0
0001080_B,6
0001081_B,0
0001082_B,6
0001083_B,6
0001084_B,6
0001085_B,6
0001086_B,2
0001087_B,0
0001088_B,6
0001089_B,6
0001090_B,6
0001091_B,6
0001092_B,0
0001093_B,6
0001094_B,6
0001095_B,6
0001096_B,6
0001097_B,6
0001098_B,0
0001099_B,6
0001100_B,6
0001101_B,6
0001102_B,6
0001103_B,6
0001104_B,6
0001105_B,0
0001106_B,6
0001107_B,6
0001108_B,0
0001109_B,6
0001110_B,6
0001111_B,0
0001112_B,6
0001113_B,6
0001114_B,0
0001115_B,0
0001116_B,6
0001117_B,6
0001118_B,6
0001119_B,6
0001120_B,3
0001121_B,6
0001122_B,6
0001123_B,6
0001124_B,0
0001125_B,0
0001126_B,6
0001127_B,0
0001128_B,6
0001129_B,6
0001130_B,6
0001131_B,0
0001132_B,6
0001133_B,6
0001134_B,0
0001135_B,6
0001136_B,6
0001137_B,6
0001138_B,6
0001139_B,0
0001140_B,6
0001141_B,0
0001142_B,6
0001143_B,6
0001144_B,6
0001145_B,6
0001146_B,0
0001147_B,6
0001148_B,6
0001149_B,6
0001150_B,6
0001151_B,6
0001152_B,6
0001153_B,6
0001154_B,6
0001155_B,0
0001156_B,6
0001157_B,6
0001158_B,0
0001159_B,6
0001160_B,6
0001161_B,6
0001162_B,6
0001163_B,6
0001164_B,6
0001165_B,3
0001166_B,6
0001167_B,6
0001168_B,6
0001169_B,6
0001170_B,0
0001171_B,0
0001172_B,6
0001173_B,6
0001174_B,0
0001175_B,0
0001176_B,6
0001177_B,0
0001178_B,6
0001179_B,6
0001180_B,6
0001181_B,0
0001182_B,0
0001183_B,6
0001184_B,6
0001185_B,6
0001186_B,6
0001187_B,6
0001188_B,6
0001189_B,6
0001190_B,6
0001191_B,0
0001192_B,6
0001193_B,6
0001194_B,6
0001195_B,6
0001196_B,0
0001197_B,0
0001198_B,6
0001199_B,0
0001200_B,6
0001201_B,6
0001202_B,6
0001203_B,6
0001204_B,6
0001205_B,6
0001206_B,0
0001207_B,6
0001208_B,6
0001209_B,6
0001210_B,6
0001211_B,3
0001212_B,6
0001213_B,6
0001214_B,6
0001215_B,0
0001216_B,0
0001217_B,6
0001218_B,0
0001219_B,6
0001220_B,6
0001221_B,0
0001222_B,6
0001223_B,6
0001224_B,6
0001225_B,0
0001226_B,6
0001227_B,6
0001228_B,6
0001229_B,6
0001230_B,6
0001231_B,6
0001232_B,6
0001233_B,6
0001234_B,0
0001235_B,6
0001236_B,6
0001237_B,6
0001238_B,2
0001239_B,6
0001240_B,6
0001241_B,0
0001242_B,6
0001243_B,6
0001244_B,6
0001245_B,6
0001246_B,0
0001247_B,6
0001248_B,2
0001249_B,6
0001250_B,6
0001251_B,6
0001252_B,6
0001253_B,6
