user_id,cluster
0000000_C,2
0000001_C,2
0000002_C,2
0000003_C,2
0000004_C,6
0000005_C,1
0000006_C,2
0000007_C,2
0000008_C,2
0000009_C,2
0000010_C,2
0000011_C,7
0000012_C,2
0000013_C,2
0000014_C,2
0000015_C,2
0000016_C,2
0000017_C,2
0000018_C,2
0000019_C,4
0000020_C,2
0000021_C,7
0000022_C,2
0000023_C,1
0000024_C,7
0000025_C,2
0000026_C,7
0000027_C,2
0000028_C,2
0000029_C,2
0000030_C,1
0000031_C,2
0000032_C,2
0000033_C,1
0000034_C,1
0000035_C,2
0000036_C,2
0000037_C,2
0000038_C,2
0000039_C,2
0000040_C,2
0000041_C,2
0000042_C,2
0000043_C,2
0000044_C,2
0000045_C,2
0000046_C,2
0000047_C,2
0000048_C,2
0000049_C,7
0000050_C,2
0000051_C,1
0000052_C,7
0000053_C,2
0000054_C,2
0000055_C,1
0000056_C,2
0000057_C,2
0000058_C,1
0000059_C,2
0000060_C,2
0000061_C,2
0000062_C,2
0000063_C,2
0000064_C,2
0000065_C,2
0000066_C,2
0000067_C,2
0000068_C,2
0000069_C,2
0000070_C,7
0000071_C,2
0000072_C,2
0000073_C,2
0000074_C,2
0000075_C,1
0000076_C,2
0000077_C,2
0000078_C,2
0000079_C,2
0000080_C,2
0000081_C,2
0000082_C,2
0000083_C,1
0000084_C,1
0000085_C,7
0000086_C,7
0000087_C,2
0000088_C,2
0000089_C,1
0000090_C,2
0000091_C,2
0000092_C,7
0000093_C,7
0000094_C,2
0000095_C,2
0000096_C,2
0000097_C,2
0000098_C,2
0000099_C,2
0000100_C,2
0000101_C,1
0000102_C,2
0000103_C,1
0000104_C,2
0000105_C,1
0000106_C,2
0000107_C,2
0000108_C,2
0000109_C,2
0000110_C,2
0000111_C,2
0000112_C,7
0000113_C,2
0000114_C,2
0000115_C,2
0000116_C,2
0000117_C,7
0000118_C,2
0000119_C,2
0000120_C,2
0000121_C,2
0000122_C,7
0000123_C,2
0000124_C,2
0000125_C,2
0000126_C,7
0000127_C,2
0000128_C,2
0000129_C,2
0000130_C,2
0000131_C,2
0000132_C,2
0000133_C,2
0000134_C,2
0000135_C,2
0000136_C,2
0000137_C,2
0000138_C,2
0000139_C,2
0000140_C,2
0000141_C,2
0000142_C,2
0000143_C,2
0000144_C,2
0000145_C,2
0000146_C,2
0000147_C,2
0000148_C,2
0000149_C,2
0000150_C,2
0000151_C,7
0000152_C,2
0000153_C,2
0000154_C,2
0000155_C,2
0000156_C,2
0000157_C,2
0000158_C,7
0000159_C,1
0000160_C,2
0000161_C,2
0000162_C,2
0000163_C,2
0000164_C,2
0000165_C,2
0000166_C,2
0000167_C,2
0000168_C,2
0000169_C,2
0000170_C,2
0000171_C,2
0000172_C,2
0000173_C,2
0000174_C,2
0000175_C,2
0000176_C,2
0000177_C,1
0000178_C,2
0000179_C,2
0000180_C,7
0000181_C,2
0000182_C,1
0000183_C,2
0000184_C,2
0000185_C,2
0000186_C,2
0000187_C,2
0000188_C,2
0000189_C,1
0000190_C,2
0000191_C,2
0000192_C,7
0000193_C,2
0000194_C,2
0000195_C,2
0000196_C,2
0000197_C,2
0000198_C,2
0000199_C,2
0000200_C,2
0000201_C,2
0000202_C,2
0000203_C,2
0000204_C,2
0000205_C,2
0000206_C,2
0000207_C,2
0000208_C,2
0000209_C,2
0000210_C,2
0000211_C,2
0000212_C,2
0000213_C,2
0000214_C,2
0000215_C,1
0000216_C,2
0000217_C,2
0000218_C,7
0000219_C,2
0000220_C,1
0000221_C,2
0000222_C,2
0000223_C,2
0000224_C,2
0000225_C,2
0000226_C,2
0000227_C,2
0000228_C,6
0000229_C,7
0000230_C,2
0000231_C,2
0000232_C,2
0000233_C,2
0000234_C,2
0000235_C,2
0000236_C,2
0000237_C,2
0000238_C,7
0000239_C,1
0000240_C,2
0000241_C,2
0000242_C,2
0000243_C,2
0000244_C,2
0000245_C,2
0000246_C,2
0000247_C,2
0000248_C,1
0000249_C,1
0000250_C,2
0000251_C,2
0000252_C,2
0000253_C,2
0000254_C,2
0000255_C,2
0000256_C,7
0000257_C,2
0000258_C,2
0000259_C,2
0000260_C,7
0000261_C,7
0000262_C,2
0000263_C,2
0000264_C,2
0000265_C,2
0000266_C,2
0000267_C,2
0000268_C,2
0000269_C,1
0000270_C,2
0000271_C,2
0000272_C,2
0000273_C,2
0000274_C,7
0000275_C,2
0000276_C,2
0000277_C,2
0000278_C,7
0000279_C,2
0000280_C,2
0000281_C,2
0000282_C,2
0000283_C,2
0000284_C,2
0000285_C,2
0000286_C,2
0000287_C,2
0000288_C,2
0000289_C,7
0000290_C,7
0000291_C,1
0000292_C,1
0000293_C,2
0000294_C,7
0000295_C,2
0000296_C,2
0000297_C,2
0000298_C,2
0000299_C,7
0000300_C,2
0000301_C,2
0000302_C,2
0000303_C,2
0000304_C,2
0000305_C,2
0000306_C,2
0000307_C,2
0000308_C,2
0000309_C,1
0000310_C,2
0000311_C,1
0000312_C,2
0000313_C,2
0000314_C,2
0000315_C,2
0000316_C,2
0000317_C,2
0000318_C,2
0000319_C,2
0000320_C,2
0000321_C,1
0000322_C,2
0000323_C,2
0000324_C,2
0000325_C,1
0000326_C,2
0000327_C,7
0000328_C,2
0000329_C,2
0000330_C,2
0000331_C,2
0000332_C,2
0000333_C,2
0000334_C,2
0000335_C,4
0000336_C,2
0000337_C,2
0000338_C,2
0000339_C,2
0000340_C,2
0000341_C,2
0000342_C,1
0000343_C,2
0000344_C,7
0000345_C,7
0000346_C,2
0000347_C,2
0000348_C,2
0000349_C,2
0000350_C,2
0000351_C,2
0000352_C,2
0000353_C,2
0000354_C,2
0000355_C,2
0000356_C,2
0000357_C,2
0000358_C,2
0000359_C,2
0000360_C,2
0000361_C,2
0000362_C,2
0000363_C,7
0000364_C,1
0000365_C,7
0000366_C,2
0000367_C,2
0000368_C,2
0000369_C,2
0000370_C,2
0000371_C,2
0000372_C,2
0000373_C,2
0000374_C,2
0000375_C,2
0000376_C,2
0000377_C,2
0000378_C,2
0000379_C,2
0000380_C,2
0000381_C,2
0000382_C,2
0000383_C,2
0000384_C,2
0000385_C,2
0000386_C,2
0000387_C,2
0000388_C,2
0000389_C,2
0000390_C,2
0000391_C,4
0000392_C,1
0000393_C,2
0000394_C,2
0000395_C,2
0000396_C,2
0000397_C,2
0000398_C,2
0000399_C,2
0000400_C,2
0000401_C,1
0000402_C,2
0000403_C,2
0000404_C,7
0000405_C,2
0000406_C,1
0000407_C,2
0000408_C,2
0000409_C,2
0000410_C,2
0000411_C,2
0000412_C,2
0000413_C,2
0000414_C,2
0000415_C,2
0000416_C,2
0000417_C,2
0000418_C,7
0000419_C,2
0000420_C,2
0000421_C,2
0000422_C,2
0000423_C,2
0000424_C,2
0000425_C,7
0000426_C,2
0000427_C,2
0000428_C,2
0000429_C,2
0000430_C,2
0000431_C,2
0000432_C,1
0000433_C,2
0000434_C,2
0000435_C,2
0000436_C,1
0000437_C,2
0000438_C,2
0000439_C,2
0000440_C,2
0000441_C,2
0000442_C,2
0000443_C,2
0000444_C,2
0000445_C,2
0000446_C,2
0000447_C,2
0000448_C,2
0000449_C,1
0000450_C,2
0000451_C,7
0000452_C,2
0000453_C,7
0000454_C,2
0000455_C,2
0000456_C,2
0000457_C,2
0000458_C,2
0000459_C,2
0000460_C,2
0000461_C,2
0000462_C,2
0000463_C,2
0000464_C,2
0000465_C,2
0000466_C,4
0000467_C,6
0000468_C,1
0000469_C,1
0000470_C,2
0000471_C,2
0000472_C,2
0000473_C,2
0000474_C,2
0000475_C,2
0000476_C,5
0000477_C,2
0000478_C,2
0000479_C,2
0000480_C,4
0000481_C,2
0000482_C,7
0000483_C,2
0000484_C,2
0000485_C,2
0000486_C,2
0000487_C,2
0000488_C,2
0000489_C,7
0000490_C,6
0000491_C,7
0000492_C,2
0000493_C,5
0000494_C,2
0000495_C,2
0000496_C,2
0000497_C,7
0000498_C,2
0000499_C,2
0000500_C,2
0000501_C,7
0000502_C,7
0000503_C,2
0000504_C,7
0000505_C,2
0000506_C,2
0000507_C,7
0000508_C,2
0000509_C,2
0000510_C,7
0000511_C,1
0000512_C,2
0000513_C,2
0000514_C,2
0000515_C,2
0000516_C,7
0000517_C,2
0000518_C,2
0000519_C,2
0000520_C,2
0000521_C,1
0000522_C,2
0000523_C,7
0000524_C,2
0000525_C,2
0000526_C,2
0000527_C,7
0000528_C,2
0000529_C,2
0000530_C,2
0000531_C,2
0000532_C,2
0000533_C,2
0000534_C,1
0000535_C,2
0000536_C,2
0000537_C,2
0000538_C,2
0000539_C,2
0000540_C,7
0000541_C,2
0000542_C,5
0000543_C,2
0000544_C,2
0000545_C,2
0000546_C,2
0000547_C,2
0000548_C,2
0000549_C,2
0000550_C,2
0000551_C,2
0000552_C,1
0000553_C,2
0000554_C,1
0000555_C,2
0000556_C,2
0000557_C,2
0000558_C,2
0000559_C,2
0000560_C,2
0000561_C,2
